Trip id,Starttime,Stoptime,Bikeid,Tripduration,From station id,From station name,To station id,To station name,Usertype
131577258,10/20/2021 19:44,10/20/2021 19:51,70741,455,,BIKE 70741,1049,S 12th St & E Carson St,Customer
131577284,10/20/2021 19:46,10/20/2021 20:48,70979,3764,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
131577293,10/20/2021 19:46,10/20/2021 20:24,70757,2257,1027,Shady Ave & Ellsworth Ave,1045,S 27th St & Sidney St. (Southside Works),Subscriber
131577294,10/20/2021 19:46,10/20/2021 20:48,70926,3717,1012,North Shore Trail & Fort Duquesne Bridge,1012,North Shore Trail & Fort Duquesne Bridge,Customer
131577335,10/20/2021 19:48,10/20/2021 20:04,70966,914,1012,North Shore Trail & Fort Duquesne Bridge,1002,Third Ave & Wood St,Customer
131577416,10/20/2021 19:55,10/20/2021 20:00,70568,317,1033,Ivy St & Walnut St   ,1024,S Negley Ave & Baum Blvd,Customer
131577419,10/20/2021 19:55,10/20/2021 20:11,70044,953,1033,Ivy St & Walnut St   ,1039,Atwood St & Bates St,Subscriber
131577429,10/20/2021 19:56,10/20/2021 20:08,70706,701,1020,42nd & Penn Ave.,,BIKE 70706,Subscriber
131577438,10/20/2021 19:57,10/20/2021 20:07,71169,623,1095,Schenley Dr & Forbes Ave (Schenley Plaza),1041,Fifth Ave & S Bouquet St,Subscriber
131577511,10/20/2021 20:03,10/20/2021 20:15,71220,734,1099,Forbes Ave & S Craig St,1033,Ivy St & Walnut St   ,Customer
131577523,10/20/2021 20:04,10/20/2021 20:09,70989,340,1093,S Bouquet Ave & Sennott St,1091,Semple St & Louisa St,Subscriber
131577539,10/20/2021 20:05,10/20/2021 20:08,71238,167,1097,Tennyson Ave & Fifth Ave,1041,Fifth Ave & S Bouquet St,Subscriber
131577557,10/20/2021 20:05,10/20/2021 20:15,70029,562,49301,Centre Ave & N Craig St,1039,Atwood St & Bates St,Subscriber
131577572,10/20/2021 20:07,10/20/2021 20:21,71207,843,1044,Zulema St & Coltart Ave,1048,S 18th St & Sidney St,Subscriber
131577615,10/20/2021 20:12,10/20/2021 20:15,71169,192,1041,Fifth Ave & S Bouquet St,1039,Atwood St & Bates St,Subscriber
131577628,10/20/2021 20:13,10/20/2021 20:21,70982,475,,BIKE 70982,49301,Centre Ave & N Craig St,Subscriber
131577696,10/20/2021 20:19,10/20/2021 20:39,70764,1206,1045,S 27th St & Sidney St. (Southside Works),1072,Glasshouse,Customer
131577715,10/20/2021 20:20,10/20/2021 20:32,70995,668,1097,Tennyson Ave & Fifth Ave,1088,Frazier St & Dawson St,Subscriber
131577757,10/20/2021 20:25,10/20/2021 20:35,71238,597,1041,Fifth Ave & S Bouquet St,,BIKE 71238,Subscriber
131577773,10/20/2021 20:27,10/20/2021 21:22,70898,3349,49391,E Liberty Blvd & Negley Ave,1059,Burns White Center at 3 Crossings,Subscriber
131577845,10/20/2021 20:34,10/21/2021 14:16,70993,63701,1048,S 18th St & Sidney St,1085,Eliza Furnace Trail at Swinburne St,Customer
131577908,10/20/2021 20:40,10/20/2021 20:58,70594,1114,1088,Frazier St & Dawson St,49301,Centre Ave & N Craig St,Subscriber
131577914,10/20/2021 20:40,10/20/2021 20:43,71182,198,1097,Tennyson Ave & Fifth Ave,1094,O'Hara St & Desoto St,Subscriber
131577930,10/20/2021 20:42,10/20/2021 20:45,70851,219,1031,Maryland Ave & Ellsworth Ave,1032,Walnut St & College St,Subscriber
131577943,10/20/2021 20:43,10/20/2021 20:53,71169,594,1039,Atwood St & Bates St,,BIKE 71169,Subscriber
131578003,10/20/2021 20:50,10/20/2021 20:56,71230,329,1043,S Millvale Ave & Centre Ave,1097,Tennyson Ave & Fifth Ave,Subscriber
131578005,10/20/2021 20:51,10/20/2021 20:55,71190,280,1091,Semple St & Louisa St,1038,Boulevard of the Allies & Parkview Ave,Subscriber
131578044,10/20/2021 20:55,10/20/2021 20:59,70712,241,1031,Maryland Ave & Ellsworth Ave,1032,Walnut St & College St,Subscriber
131578047,10/20/2021 20:55,10/20/2021 21:02,70908,407,,BIKE 70908,49271,S Craig St & 5th Ave,Subscriber
131578062,10/20/2021 20:57,10/20/2021 21:01,70113,228,49271,S Craig St & 5th Ave,49301,Centre Ave & N Craig St,Subscriber
131578094,10/20/2021 21:01,10/21/2021 8:28,70813,41270,1002,Third Ave & Wood St,1048,S 18th St & Sidney St,Customer
